timestamp,mae_train,mae_val,mae_test,overfit_ratio,best_epoch,epochs_run,n_params,duration_seconds,mejora
2026-05-16T15:59:24,0.01181267760694027,0.010576413944363594,0.012299885042011738,0.8953,24,40,36807,59.9,True
2026-05-16T16:23:12,0.011814344674348831,0.010570869781076908,0.012288247235119343,0.8947,36,52,36807,74.7,True
2026-05-16T18:10:58,0.011790620163083076,0.010575390420854092,0.01229202002286911,0.8969,102,603,3447,790.1,False
2026-05-16T19:08:51,0.011792239733040333,0.010575097985565662,0.012292863801121712,0.8968,86,587,3447,808.9,False
2026-05-17T00:43:36,0.011753254570066929,0.010576215572655201,0.012303689494729042,0.8999,50,551,4343,824.5,False
