Date,A,B,C,BM1,BM2
2025-01-02,1.0,1.0,1.0,0.9999999999999998,1.0
2025-01-03,0.9991461711896642,0.9991461711896642,0.9990930861286108,1.0041017529763756,1.0041017529763754
2025-01-06,0.996776333676477,0.996776333676477,0.9924962904979462,0.9976036644381785,0.9976036644381786
2025-01-07,1.0082136919057232,1.0082136919057232,1.001910065941845,0.9998277229215096,0.9998277229215097
2025-01-08,1.0033815457424848,1.0033815457424848,0.9976666668011444,1.0012856877675442,1.0012856877675445
2025-01-10,1.0038705267814283,1.0038705267814283,0.9941499243575319,0.9934303496692172,0.9934303496692174
2025-01-13,1.0139113034965204,1.0110139032233967,1.0050581065496371,0.9998976882774204,0.9998976882774205
2025-01-14,1.010719117152894,1.0058133540916785,1.00564442489851,1.0068186916978832,1.0068186916978832
2025-01-15,1.0118890648341894,1.0051442065759868,1.0048884026340728,1.0104268184504837,1.0104268184504839
2025-01-16,1.0232702175179098,1.0151163299341701,1.01728624676803,1.0190590993039432,1.0190590993039434
2025-01-17,1.0234083127949747,1.0125910240574807,1.0188987615149105,1.0244299385987594,1.0244299385987596
2025-01-21,1.021762417841934,1.0150136430741474,1.019615537706134,1.0336240235157719,1.033624023515772
2025-01-22,1.0112576799964406,1.0069259365669416,1.006994146527321,1.0273382833752942,1.0273382833752944
2025-01-23,1.0181185359730196,1.014272440659121,1.0114708814044364,1.0367349774203518,1.0367349774203516
2025-01-24,1.0141300660794903,1.0135400571814719,1.0118434090638122,1.0344992791299246,1.0344992791299246
2025-01-27,1.0349983513136454,1.0333747162466593,1.0406835257100424,1.0487366929074295,1.0487366929074293
2025-01-28,1.0274239151463818,1.0240615380221296,1.025958671159973,1.0364327261650885,1.0364327261650883
2025-01-29,1.0263288607526264,1.0283983243784314,1.0285658018771917,1.0348000426702004,1.0348000426702002
2025-01-30,1.0418187281090256,1.0361347989325544,1.0452315363285716,1.0481492178844307,1.0481492178844305
2025-01-31,1.0257120641739919,1.03304231352995,1.034136298405823,1.0397004658831213,1.039700465883121
2025-02-03,1.0263788795952995,1.0342670243582721,1.033106143110298,1.0431842761535979,1.0431842761535977
2025-02-04,1.0135021022724537,1.0154935792602973,1.0272243650730792,1.0392596549295705,1.0392596549295703
2025-02-05,1.0203004265371176,1.0161448236250865,1.0354388064704891,1.0450393323823493,1.0450393323823493
2025-02-06,1.017700971342864,1.0116957019159403,1.03426357060537,1.0423530283140852,1.042353028314085
2025-02-07,1.0142649722588226,1.010945070838298,1.0341357550851693,1.0387447065075717,1.0387447065075717
2025-02-10,1.0190957419433802,1.0126341144376163,1.0414790616737901,1.0428180217099876,1.0428180217099874
2025-02-11,1.0336148471960327,1.0250133152011078,1.066404349763418,1.0496279720235173,1.0496279720235173
2025-02-12,1.037100336148564,1.0251762284193446,1.07316638045721,1.0444778519941322,1.0444778519941322
2025-02-13,1.0395275005201852,1.0271700043785712,1.0814430944626987,1.049088452232529,1.0490884522325292
