Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.13352605753994773,0.16347196827332255,0.6615351076562492,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.1560749542268247,0.12322524953493219,0.2840427483857999,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.2095883988423506,0.1465123260821819,0.157172603484788,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.2242721821369289,0.1669854320420261,0.4341115841702785,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.09675772732713295,0.05135202873682698,0.2134203036126343,0.22509810972882627,0.2085054374914206
AVG,,,0.16404386401463697,0.13030940093385796,0.35005646946195,0.24841222551085423,0.23535934619005316
STD,,,0.04737936086963429,0.04240724876493973,0.18128190384184664,0.02800924596141765,0.02612785273296319
