Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.057183982735847794,0.021399760874445173,0.26662032868525176,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.0070420078315238666,0.012111866575551966,0.02796931202112174,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.10542650411750598,0.02595938343403925,0.5569447118620128,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.05956115077617996,0.01984714801370102,0.3031649664753415,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.0,0.0,0.0,0.22509810972882627,0.2085054374914206
AVG,,,0.04584272909221152,0.01586363177954748,0.23093986380874557,0.24841222551085423,0.23535934619005316
STD,,,0.038662894756975576,0.009101339283811929,0.203616790846046,0.02800924596141765,0.02612785273296319
