Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.02309517376501602,0.0038065565427833903,0.1014330622113,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.0204313209858209,0.019517484485550796,0.08966208952774024,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.024282195102081294,0.023364909992136473,0.11172692859887401,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.03407501135911972,0.018890076776083342,0.16685880612421,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.030055154666765116,0.011634838857150553,0.14501920829864057,0.22509810972882627,0.2085054374914206
AVG,,,0.026387771175760612,0.01544277333074091,0.12294001895215297,0.24841222551085423,0.23535934619005316
STD,,,0.004965829446996121,0.006944772529215508,0.028677704368245398,0.02800924596141765,0.02612785273296319
