timestamp,epoch,loss,val_loss
2026-05-20T11:12:00,0,0.10996939986944199,0.04051310569047928
2026-05-20T11:12:00,1,0.038611799478530884,0.036311302334070206
2026-05-20T11:12:00,2,0.03421541303396225,0.03184537589550018
2026-05-20T11:12:00,3,0.02985214628279209,0.02767200954258442
2026-05-20T11:12:00,4,0.025915302336215973,0.023951178416609764
2026-05-20T11:12:00,5,0.022348882630467415,0.020613661035895348
2026-05-20T11:12:00,6,0.019283879548311234,0.01781025342643261
2026-05-20T11:12:00,7,0.016688285395503044,0.015455366112291813
2026-05-20T11:12:00,8,0.014640874229371548,0.013558214530348778
2026-05-20T11:12:00,9,0.012875834479928017,0.011998294852674007
2026-05-20T11:12:00,10,0.011563744395971298,0.010739192366600037
2026-05-20T11:12:00,11,0.010185944847762585,0.00960230827331543
2026-05-20T11:12:00,12,0.009325624443590641,0.008905020542442799
2026-05-20T11:12:00,13,0.008653885684907436,0.008233052678406239
2026-05-20T11:12:00,14,0.007958789356052876,0.007631929125636816
2026-05-20T11:12:00,15,0.007495096419006586,0.00723084295168519
2026-05-20T11:12:00,16,0.0070915501564741135,0.006852370221167803
2026-05-20T11:12:00,17,0.006736995652318001,0.0065316432155668736
2026-05-20T11:12:00,18,0.006396295502781868,0.006252422463148832
2026-05-20T11:12:00,19,0.006217689719051123,0.006145744118839502
2026-05-20T11:12:00,20,0.006075507961213589,0.00606910977512598
2026-05-20T11:12:00,21,0.005969967693090439,0.005873681511729956
2026-05-20T11:12:00,22,0.005809396971017122,0.005750930868089199
2026-05-20T11:12:00,23,0.005710396450012922,0.005678009241819382
2026-05-20T11:12:00,24,0.0057033756747841835,0.005726644769310951
2026-05-20T11:12:00,25,0.00570183340460062,0.005649325903505087
2026-05-20T11:12:00,26,0.005628988612443209,0.005601536948233843
2026-05-20T11:12:00,27,0.0056657735258340836,0.005635695066303015
2026-05-20T11:12:00,28,0.005585261154919863,0.005544090177863836
2026-05-20T11:12:00,29,0.005512163043022156,0.005480708554387093
2026-05-20T11:12:00,30,0.0054716202430427074,0.005455764476209879
2026-05-20T11:12:00,31,0.005450098775327206,0.00543929310515523
2026-05-20T11:12:00,32,0.005437640473246574,0.00542798126116395
2026-05-20T11:12:00,33,0.005425549112260342,0.005429641343653202
