Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.4816786376537998,0.4253420339514211,0.5023400167055903,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.5710357105228023,0.4697239897630612,0.5681667328964246,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.4836906115590711,0.4516757790372621,0.5041203505083633,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.42329064434720687,0.35346336215443275,0.43497740587290545,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.48796682636627153,0.39283595617155465,0.4713965080438218,0.22509810972882627,0.2085054374914206
AVG,,,0.48953248608983035,0.41860822421554633,0.49620020280542115,0.24841222551085423,0.23535934619005316
STD,,,0.047178424971771625,0.041616563327712484,0.043915968953835184,0.02800924596141765,0.02612785273296319
