window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,BA,0.2,0.6726190338886212,0.4862582272939234,0.19113287389760636,1
0,2025-01-02,2025-05-14,90,KO,0.2,0.17675116838493923,0.12777918179642564,0.12662306209760144,1
0,2025-01-02,2025-05-14,90,DIS,0.2,0.06286913173335452,0.04545014489321053,0.01913017608930545,1
0,2025-01-02,2025-05-14,90,ED,0.2,0.04562891805232764,0.03298663238414771,0.13459184853922324,1
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.04213174794075748,0.03045841410110848,0.024382396488676683,1
1,2025-05-14,2025-09-23,90,BA,0.2,0.4350328627041785,0.49199125389313975,0.05676042911244572,1
1,2025-05-14,2025-09-23,90,CVX,0.2,0.15637383713157857,0.17684769773073972,0.13722867508251912,1
1,2025-05-14,2025-09-23,90,JNJ,0.2,0.1463891667315479,0.16555574502793619,0.2257518207814211,1
1,2025-05-14,2025-09-23,90,GD,0.2,0.13792393661098348,0.15598217130842035,0.20011038035757767,1
1,2025-05-14,2025-09-23,90,KO,0.2,0.12428019682171151,0.14055207114313653,-0.021116940887640046,0
2,2025-09-23,2026-02-02,90,BA,0.2,0.35189435484078907,0.35637181390814315,0.0771008977393095,1
2,2025-09-23,2026-02-02,90,CVX,0.2,0.17557425359282186,0.17780823809109203,0.11786079840322561,1
2,2025-09-23,2026-02-02,90,GD,0.2,0.17262746631000625,0.1748239562612412,0.0807969446716823,1
2,2025-09-23,2026-02-02,90,XOM,0.2,0.1576084384730181,0.159613828222029,0.22519109338195742,1
2,2025-09-23,2026-02-02,90,KO,0.2,0.14229548678336462,0.14410603648038944,0.13714753272180502,1
3,2026-02-02,2026-05-20,75,BA,0.2,0.3122045920247294,0.48014811265530455,-0.04643381308828465,0
3,2026-02-02,2026-05-20,75,HPQ,0.2,0.1858525020402449,0.2858277244039427,0.08086126461793763,1
3,2026-02-02,2026-05-20,75,DIS,0.2,0.1804984985982084,0.27759365381845885,-0.003542318123482935,0
3,2026-02-02,2026-05-20,75,CVX,0.2,0.16774299521415986,0.2579766109168793,0.1203312691628513,1
3,2026-02-02,2026-05-20,75,KO,0.2,0.15370141212265742,0.23638167031605845,0.09001372291300203,1
