Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.03877329613634006,0.03579647407195541,0.17872089235577238,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.0204313209858209,0.0204313209858209,0.08966208952774024,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.026753212718800823,0.03882049770365392,0.11110769842015444,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.06347069875015543,0.06225687269397273,0.2794328206306069,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.05766843441664715,0.03889699612324682,0.2888632044898596,0.22509810972882627,0.2085054374914206
AVG,,,0.041419392601552876,0.039240432315729955,0.18955734108482672,0.24841222551085423,0.23535934619005316
STD,,,0.01681005218178472,0.013384276884372253,0.08269231242277456,0.02800924596141765,0.02612785273296319
