Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.0,0.0,0.0,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.0204313209858209,0.001663517787955593,0.08966208952774024,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.024282195102081294,0.010878775887131598,0.11172692859887401,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.03407501135911972,0.01071595002123149,0.16685880612421,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.030055154666765116,0.0033155006715104296,0.14501920829864057,0.22509810972882627,0.2085054374914206
AVG,,,0.021768736422757406,0.005314748873565822,0.10265340650989296,0.24841222551085423,0.23535934619005316
STD,,,0.011849836877789269,0.004597964937844828,0.057803147819046885,0.02800924596141765,0.02612785273296319
