Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.08666212113928484,0.06485818068222882,0.23499793929206936,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.04731300354549006,0.048318893599129664,0.22130328882557193,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.07802926127285104,0.05969769954301851,0.2894376258914835,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.11327599928926269,0.0603046649889829,0.48189914202905904,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.05840788777134254,0.043212886830479524,0.2873749692348657,0.22509810972882627,0.2085054374914206
AVG,,,0.07673765460364623,0.055278465128767884,0.3030025930546099,0.24841222551085423,0.23535934619005316
STD,,,0.02296521002817406,0.008131138708402676,0.09352177868307203,0.02800924596141765,0.02612785273296319
