Date,Strategy A (Equal Wt),Strategy B (Take-Profit),Strategy C (Proportional),BM1: EW Fixed,BM2: EW Rebal
2025-01-02,1.0,1.0,1.0,0.9999999999999998,1.0
2025-01-03,0.9991460986335514,0.9991460986335514,0.9990929961199647,1.0041017109040657,1.0041017109040657
2025-01-06,0.9967762702314821,0.9967762702314821,0.9924962082456471,0.9976036696623207,0.9976036696623206
2025-01-07,1.008213631519334,1.008213631519334,1.0019099912641707,0.9998276921580861,0.9998276921580863
2025-01-08,1.0033814936157495,1.0033814936157495,0.9976666308458112,1.001285662831922,1.0012856628319222
2025-01-10,1.0038704440049133,1.0038704440049133,0.9941498538727206,0.9934303495565794,0.9934303495565796
2025-01-13,1.0139111769577822,1.0110137549771494,1.0050579440495726,0.9998976803509668,0.9998976803509669
2025-01-14,1.0107190095792395,1.0058132037333924,1.0056442839459345,1.0068186417345535,1.006818641734554
2025-01-15,1.0118890035738257,1.005144081670267,1.0048882791317084,1.0104268100934448,1.0104268100934448
2025-01-16,1.0232701729297387,1.0151162418294573,1.017286157877457,1.019059113761018,1.0190591137610179
2025-01-17,1.0234082614355926,1.0125909087354337,1.0188986796267632,1.0244299466235318,1.0244299466235314
2025-01-21,1.0217623810422385,1.0150135617981377,1.0196155219863028,1.0336240307688978,1.0336240307688975
2025-01-22,1.0112576222628336,1.0069258347670653,1.0069940628308751,1.027338278718229,1.0273382787182286
2025-01-23,1.0181184685222635,1.014272328831005,1.011470789266119,1.036734970267043,1.0367349702670425
2025-01-24,1.0141299769400025,1.0135399235640665,1.0118432826492674,1.0344992718981534,1.034499271898153
2025-01-27,1.0349982141363843,1.0333745550267168,1.0406833449133974,1.0487366577289463,1.0487366577289456
2025-01-28,1.0274238289519952,1.0240614282944696,1.025958554423636,1.036432706309099,1.0364327063090983
2025-01-29,1.0263287715478864,1.0283981898328833,1.0285657286676582,1.0348000134584496,1.034800013458449
2025-01-30,1.0418186112887717,1.0361346800407518,1.0452314619653842,1.048149183671345,1.0481491836713444
2025-01-31,1.0257120073021764,1.0330422332172513,1.034136296978904,1.0397004502470544,1.0397004502470533
2025-02-03,1.0263788462024548,1.0342669225481314,1.0331061222649707,1.0431842427005567,1.0431842427005558
2025-02-04,1.0135020136813102,1.0154934463748315,1.0272242967236465,1.0392596258969282,1.0392596258969276
2025-02-05,1.0203003831652437,1.0161447149914695,1.0354386938627596,1.045039311219364,1.0450393112193634
2025-02-06,1.0177009017156893,1.0116955889583132,1.0342634756825348,1.0423530059523498,1.042353005952349
2025-02-07,1.0142649112338153,1.0109449662821968,1.0341356672261202,1.0387447056499899,1.038744705649989
