Date,A,B,C,BM1,BM2
2025-01-02,1.0,1.0,1.0,0.9999999999999998,1.0
2025-01-03,0.9986171771628531,0.9986171771628531,0.9990522482817813,1.0041017372517198,1.0041017372517198
2025-01-06,0.996823432352435,0.996823432352435,0.9951530050373517,0.9976036923615174,0.9976036923615172
2025-01-07,1.0069758220636404,1.0069758220636404,1.0039765168886126,0.9998277157534458,0.9998277157534458
2025-01-08,0.9978232465956154,0.9978232465956154,0.9973086424624055,1.0012856782205612,1.0012856782205612
2025-01-10,0.9938107846580886,0.9938107846580886,0.9925516443258959,0.9934303666471674,0.9934303666471673
2025-01-13,1.0060129272686043,1.0060129272686043,1.0051705413090282,0.9998976912563824,0.9998976912563826
2025-01-14,1.001629751076094,1.001629751076094,1.003238730423256,1.006818660533273,1.0068186605332732
2025-01-15,1.0042315768818606,1.0042315768818606,1.0056741117876762,1.0104268068400173,1.0104268068400173
2025-01-16,1.013852417234845,1.013852417234845,1.0146516281166935,1.0190591179334771,1.0190591179334774
2025-01-17,1.0131517943917836,1.0131517943917836,1.0164389045843643,1.0244299715995533,1.0244299715995533
2025-01-21,1.0140423600522155,1.0140423600522155,1.0166957209030767,1.0336240724930894,1.0336240724930896
2025-01-22,1.0024327022751869,1.0024327022751869,1.0044813512751087,1.027338279611055,1.0273382796110553
2025-01-23,1.010881269605951,1.010881269605951,1.0109909951870188,1.0367349700195796,1.0367349700195798
2025-01-24,1.0046528570172328,1.0046528570172328,1.0063747035371038,1.0344992694893456,1.0344992694893458
2025-01-27,1.0260786872735819,1.0260786872735819,1.029140841223919,1.0487367028867398,1.0487367028867398
2025-01-28,1.0159332418708416,1.0159332418708416,1.0160539495633736,1.0364327248089726,1.0364327248089724
2025-01-29,1.0167116623519383,1.0167116623519383,1.0179954760852192,1.034800035992942,1.034800035992942
2025-01-30,1.0329175640605441,1.0329175640605441,1.0343852754513152,1.0481492004330826,1.0481492004330826
2025-01-31,1.0212051766405046,1.0212051766405046,1.0219504984199583,1.039700465633804,1.039700465633804
2025-02-03,1.022160803618164,1.022160803618164,1.0222444740702328,1.043184278337695,1.043184278337695
2025-02-04,1.0095043239364645,1.0095043239364645,1.0153078271042555,1.0392596423187541,1.0392596423187541
2025-02-05,1.016432013504935,1.016432013504935,1.0224078473295914,1.0450393441320056,1.0450393441320058
2025-02-06,1.0126081747347255,1.0126081747347255,1.019367343989326,1.0423530173348858,1.042353017334886
2025-02-07,1.0090885924902206,1.01271600648463,1.0180896238060166,1.0387447056693477,1.0387447056693477
2025-02-10,1.0135843370246136,1.0182769566286511,1.0250402446286098,1.0428180092161965,1.042818009216196
2025-02-11,1.0271303850219757,1.032009796776121,1.0434714684942183,1.0496279630413292,1.049627963041329
2025-02-12,1.0277275771944896,1.0271140220442836,1.044517424434534,1.0444778357288376,1.0444778357288373
2025-02-13,1.0303258503958295,1.0279711323039937,1.0495643448778391,1.0490884504309286,1.0490884504309281
2025-02-14,1.0226509446690029,1.0228828170067135,1.0423784299038763,1.0437888870607401,1.0437888870607404
2025-02-18,1.0281812467038123,1.0276986020331436,1.048367710007853,1.0492464773673391,1.0492464773673393
2025-02-19,1.042380301316024,1.0367339398194608,1.0618390609458186,1.0586481406437651,1.0586481406437651
2025-02-20,1.0470313567395173,1.044967986693366,1.0661406474298563,1.0587585334468623,1.0587585334468623
2025-02-21,1.0519630826131598,1.0468616828180335,1.0719066892277644,1.055559075385186,1.055559075385186
2025-02-24,1.0601298682554259,1.0520993455705336,1.076934447162232,1.0598295350328404,1.0598295350328404
2025-02-25,1.0613805781528909,1.0495559964617018,1.079216808613619,1.0636579960967583,1.0636579960967583
2025-02-26,1.0439752703755747,1.0443329536062762,1.0636566324860082,1.0564764386964725,1.0564764386964722
2025-02-27,1.050086541726279,1.0484538035842774,1.068904892494218,1.057435417752958,1.0574354177529577
2025-02-28,1.059837193612968,1.0545661544520635,1.077932208365728,1.0674464489420064,1.0674464489420066
2025-03-03,1.0557680064782813,1.0498605389717113,1.074769477309858,1.0609108750400753,1.0609108750400755
2025-03-04,1.0315759224689465,1.0481018889907232,1.0503626350263753,1.0386458877846731,1.0386458877846734
2025-03-05,1.0337850241231699,1.0454353050925855,1.0503621982979494,1.0432880434228313,1.0432880434228315
2025-03-06,1.0358731932600775,1.051575597765005,1.0540921962080592,1.0417045692212312,1.0417045692212314
2025-03-07,1.038369755038647,1.0557658450031318,1.0589549159986626,1.0563812861436885,1.0563812861436885
2025-03-10,1.0381322897774856,1.0624441615666347,1.060493552634425,1.055951928029943,1.055951928029943
2025-03-11,1.0369525116513623,1.0563108522944884,1.0569620216334281,1.0398982991640953,1.0398982991640953
2025-03-12,1.0332801607405508,1.0531751655144794,1.0516639445509257,1.03649947629417,1.0364994762941697
2025-03-13,1.0353287632013388,1.0553560652774772,1.051944572057976,1.0359849476078553,1.0359849476078553
2025-03-14,1.0443346176345427,1.0613177192385952,1.0614228870052345,1.049278733935567,1.049278733935567
2025-03-17,1.0530902653840228,1.0671777590101639,1.0714208521781532,1.060139461632493,1.060139461632493
2025-03-18,1.0519491586429763,1.0667950165971951,1.069068014047175,1.056771573442408,1.0567715734424077
2025-03-19,1.0661429398869902,1.0685414099350243,1.081542176536108,1.064710157586069,1.0647101575860687
2025-03-20,1.0702805444241776,1.0710626114266357,1.085908374621595,1.0617355654773777,1.0617355654773777
2025-03-21,1.0700280875582295,1.0666599937542345,1.0838344804398223,1.0594478076199636,1.0594478076199632
2025-03-24,1.072525381797135,1.0653811370053536,1.0868883440333175,1.0659497275179761,1.0659497275179757
2025-03-25,1.0622577691431625,1.0565860701044039,1.0799099918881945,1.0645550236344095,1.0645550236344095
2025-03-26,1.0658581468437633,1.060208212489342,1.0865283176383635,1.0695032446543662,1.0695032446543657
2025-03-27,1.0686584913602901,1.0589808790096773,1.090562424803993,1.0682704646701062,1.0682704646701058
2025-03-28,1.0650663172840689,1.0629218477966231,1.0862149539209034,1.061696878902609,1.0616968789026087
2025-03-31,1.071665733571672,1.064184516095132,1.095162705340205,1.0721804804704174,1.0721804804704171
2025-04-01,1.047045794493399,1.0579246375042823,1.0746295866787374,1.0685010955377512,1.0685010955377507
