Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.0,0.0,0.0,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.0,0.0,0.0,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.0,0.0,0.0,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.0,0.0,0.0,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.0,0.0,0.0,0.22509810972882627,0.2085054374914206
AVG,,,0.0,0.0,0.0,0.24841222551085423,0.23535934619005316
STD,,,0.0,0.0,0.0,0.02800924596141765,0.02612785273296319
