modelo,v_in,v_out,n_params,mae_train,mae_val,mae_test
lineal,5,1,2668,0.01181799452751875,0.009124264121055603,0.012440383434295654
lineal,5,5,2668,0.005440049339085817,0.004178950563073158,0.005646754056215286
lineal,5,30,2668,0.002191650215536356,0.001714954967610538,0.0023398282937705517
lineal,5,90,2668,0.0012622954091057181,0.0009307871223427355,0.001277002040296793
lineal,10,1,5313,0.011793241836130619,0.009236784651875496,0.012613698840141296
lineal,10,5,5313,0.005417239852249622,0.0042100874707102776,0.005720518995076418
lineal,10,30,5313,0.002181078540161252,0.001720686792396009,0.002358066150918603
lineal,10,90,5313,0.0012575028231367469,0.0009352249908261001,0.001287385355681181
lineal,30,1,15893,0.011672982946038246,0.00950674805790186,0.012985777109861374
lineal,30,5,15893,0.005336305592209101,0.004320573527365923,0.005899812560528517
lineal,30,30,15893,0.0021477388218045235,0.0017416860209777951,0.002436527283862233
lineal,30,90,15893,0.0012346567818894982,0.0009620279306545854,0.0013569204602390528
lineal,90,1,47633,0.01118728518486023,0.010387444868683815,0.014160220511257648
lineal,90,5,47633,0.005098229739814997,0.00468085752800107,0.006380940321832895
lineal,90,30,47633,0.002026311121881008,0.0018789682071655989,0.0026309334207326174
lineal,90,90,47633,0.001157019636593759,0.00107780029065907,0.0015224962262436748
