modelo,v_in,v_out,n_params,mae_train,mae_val,mae_test
buy_and_hold,5,1,0,0.011823308654129505,0.009029148146510124,0.012296394445002079
buy_and_hold,5,5,0,0.0054813590832054615,0.00416437815874815,0.005619818344712257
buy_and_hold,5,30,0,0.002247811760753393,0.0017444757977500558,0.0023560738191008568
buy_and_hold,5,90,0,0.0013381612952798605,0.0009856276446953416,0.0013258779654279351
buy_and_hold,10,1,0,0.011823773384094238,0.009028295986354351,0.012298865243792534
buy_and_hold,10,5,0,0.005481688305735588,0.004164246842265129,0.005621062591671944
buy_and_hold,10,30,0,0.0022480268962681293,0.0017444757977500558,0.0023560738191008568
buy_and_hold,10,90,0,0.0013381363824009895,0.000985784805379808,0.0013258779654279351
buy_and_hold,30,1,0,0.011825635097920895,0.009039105847477913,0.012302429415285587
buy_and_hold,30,5,0,0.0054817707277834415,0.004168135579675436,0.00562363350763917
buy_and_hold,30,30,0,0.002248722594231367,0.001745128771290183,0.0023566100280731916
buy_and_hold,30,90,0,0.0013363542966544628,0.0009858518606051803,0.0013264743611216545
buy_and_hold,90,1,0,0.011831820011138916,0.009046864695847034,0.01232163142412901
buy_and_hold,90,5,0,0.0054850829765200615,0.004169568885117769,0.005634361412376165
buy_and_hold,90,30,0,0.002242801710963249,0.0017452245811000466,0.002359020756557584
buy_and_hold,90,90,0,0.0013312667142599821,0.0009870894718915224,0.0013277691323310137
