Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.07946583180267175,0.0009567108821333381,0.5911068689781938,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.03027136063236746,0.06010169044178393,0.21917604299785176,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.05857967670965736,0.042468796635304784,0.37540041616124276,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.07277940278173789,0.05161069098930526,0.29473287972173257,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.07760262333837709,0.056012567055772955,0.325830989409974,0.22509810972882627,0.2085054374914206
AVG,,,0.06373977905296231,0.042230091200860055,0.36124943945379895,0.24841222551085423,0.23535934619005316
STD,,,0.018264521191071706,0.021451784334777926,0.12561724193116322,0.02800924596141765,0.02612785273296319
