window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,KO,0.2,0.5583407095221654,0.09287359740414225,0.12662306209760144,1
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.2936762815214646,0.04884969387331995,0.024382396488676683,1
0,2025-01-02,2025-05-14,90,MRK,0.2,0.14798300895637004,0.02461528267969126,-0.25275076807277963,0
2,2025-09-23,2026-02-02,90,MRK,0.2,1.0,0.018816310675644696,0.4299522766966648,1
3,2026-02-02,2026-05-20,75,HPQ,0.2,1.0,0.02419461070148148,0.08086126461793763,1
