Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.17432284830838118,0.06059670406187023,0.7614009210895212,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.17092837676516837,0.05419811221007942,0.5339330485817788,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.16709038015680688,0.08933346224508232,0.5257907984012955,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.08423941333870566,0.07229860508549857,0.30669285361201193,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.12119137426637305,0.08724600173275787,0.4142706651603325,0.22509810972882627,0.2085054374914206
AVG,,,0.14355447856708703,0.07273457706705769,0.5084176573689879,0.24841222551085423,0.23535934619005316
STD,,,0.035407194014066216,0.013980150192571544,0.15133403155502745,0.02800924596141765,0.02612785273296319
