window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.6298691752860159,0.045855339228205054,0.024382396488676683,1
0,2025-01-02,2025-05-14,90,KO,0.2,0.3701308247139841,0.026946031322088514,0.12662306209760144,1
1,2025-05-14,2025-09-23,90,MRK,0.2,0.857035223559229,0.16731415103151,0.11009048134681798,1
1,2025-05-14,2025-09-23,90,JNJ,0.2,0.14296477644077107,0.027910206652018828,0.2257518207814211,1
2,2025-09-23,2026-02-02,90,MRK,0.2,1.0,0.0036342475847681924,0.4299522766966648,1
3,2026-02-02,2026-05-20,75,HPQ,0.2,0.9433045673547198,0.21259062222844266,0.08086126461793763,1
3,2026-02-02,2026-05-20,75,DIS,0.2,0.056695432645280194,0.012777333769696997,-0.003542318123482935,0
