Offset,Period,Days,A,B,C,BM1,BM2
0,2025-01-02 -> 2026-05-20,346,0.22865161865399974,0.19544512205216757,0.4501381589547333,0.27596048812699836,0.2584701628262882
5,2025-01-10 -> 2026-05-20,341,0.27153210029630515,0.08427445007075662,0.4255455003751767,0.28554288264532124,0.271525951510861
10,2025-01-17 -> 2026-05-20,336,0.2925667617288703,0.16016372205561713,0.3547850846263587,0.24162092366033727,0.23188367486498773
15,2025-01-27 -> 2026-05-20,331,0.30751012885047313,0.1153618278672266,0.5327927640511214,0.2138387233927881,0.2064115042567083
20,2025-02-03 -> 2026-05-20,326,0.1681589679931501,0.0027819099613288767,0.42565766675532934,0.22509810972882627,0.2085054374914206
AVG,,,0.2536839155045597,0.11160540640141936,0.43778383495254386,0.24841222551085423,0.23535934619005316
STD,,,0.050336521942755216,0.06631840346871264,0.05721003281609398,0.02800924596141765,0.02612785273296319
