Date,A,B,C,BM1,BM2
2025-01-02,1.0,1.0,1.0,0.9999999999999998,1.0
2025-01-03,0.9986171691327448,0.9986171691327448,0.9990522530842537,1.0041017529763756,1.0041017529763754
2025-01-06,0.9968234095872774,0.9968234095872774,0.9951529943863897,0.9976036644381785,0.9976036644381786
2025-01-07,1.0069757911968098,1.0069757911968098,1.00397650720122,0.9998277229215096,0.9998277229215097
2025-01-08,0.9978232294429589,0.9978232294429589,0.9973086469776101,1.0012856877675442,1.0012856877675445
2025-01-10,0.9938107492187201,0.9938107492187201,0.9925516136415179,0.9934303496692172,0.9934303496692174
2025-01-13,1.0060129740667387,1.0060129740667387,1.0051705920809375,0.9998976882774204,0.9998976882774205
2025-01-14,1.0016297690418745,1.0016297690418745,1.0032387524252238,1.0068186916978832,1.0068186916978832
2025-01-15,1.0042315765829986,1.0042315765829986,1.0056741375303635,1.0104268184504837,1.0104268184504839
2025-01-16,1.0138524285490933,1.0138524285490933,1.0146516727122288,1.0190590993039432,1.0190590993039434
2025-01-17,1.0131517779103751,1.0131517779103751,1.0164388832772822,1.0244299385987594,1.0244299385987596
2025-01-21,1.0140422963103397,1.0140422963103397,1.0166956628438095,1.0336240235157719,1.033624023515772
2025-01-22,1.0024326795836456,1.0024326795836456,1.004481335315425,1.0273382833752942,1.0273382833752944
2025-01-23,1.010881298632267,1.010881298632267,1.0109910381975877,1.0367349774203518,1.0367349774203516
2025-01-24,1.004652855969851,1.004652855969851,1.0063747014016666,1.0344992791299246,1.0344992791299246
2025-01-27,1.0260787045716067,1.0260787045716067,1.0291408658325258,1.0487366929074295,1.0487366929074293
2025-01-28,1.015933266046968,1.015933266046968,1.0160539793175116,1.0364327261650885,1.0364327261650883
2025-01-29,1.0167116575325477,1.0167116575325477,1.0179954528519042,1.0348000426702004,1.0348000426702002
2025-01-30,1.0329176069900687,1.0329176069900687,1.0343853121892113,1.0481492178844307,1.0481492178844305
2025-01-31,1.0212051385666552,1.0212051385666552,1.0219504445426135,1.0397004658831213,1.039700465883121
2025-02-03,1.0221608128152477,1.022160812815248,1.0222444670378998,1.0431842761535979,1.0431842761535977
2025-02-04,1.0095043146277296,1.0095043146277298,1.015307811820562,1.0392596549295705,1.0392596549295703
2025-02-05,1.0164320315795377,1.0164320315795379,1.0224078645371848,1.0450393323823493,1.0450393323823493
2025-02-06,1.012608176708861,1.0126081767088613,1.0193673438355229,1.0423530283140852,1.042353028314085
2025-02-07,1.0090886102432337,1.0127160242447146,1.0180896400057613,1.0387447065075717,1.0387447065075717
2025-02-10,1.0135843606979185,1.018276980348454,1.0250402675104748,1.0428180217099876,1.0428180217099874
2025-02-11,1.0271304043535987,1.0320098161361881,1.043471482488187,1.0496279720235173,1.0496279720235173
2025-02-12,1.0277275841052873,1.027114007921452,1.0445174183036026,1.0444778519941322,1.0444778519941322
2025-02-13,1.0303258813672198,1.0279711843009312,1.0495643828133523,1.049088452232529,1.0490884522325292
2025-02-14,1.0226509244679076,1.0228828180655067,1.0423784037360493,1.043788893591424,1.0437888935914241
2025-02-18,1.028181231901606,1.027698587883164,1.0483676916370668,1.0492464727478856,1.049246472747886
2025-02-19,1.0423802079712776,1.0367338680429403,1.061838951045478,1.0586481340595681,1.0586481340595684
2025-02-20,1.0470313831877016,1.044967969085863,1.0661406586519009,1.058758533485926,1.0587585334859262
2025-02-21,1.0519630723108049,1.0468616461698141,1.071906675354111,1.0555590661537846,1.055559066153785
2025-02-24,1.0601299082792959,1.0520993614482301,1.0769344589569803,1.0598295543486322,1.0598295543486325
2025-02-25,1.0613805761207948,1.0495559940909862,1.0792167620603874,1.0636580081841,1.0636580081841007
2025-02-26,1.0439752280973833,1.044332951284757,1.0636565546702412,1.0564764191700011,1.0564764191700013
