window,rebal_date,end_date,days,ticker,weight_eq,weight_prop,exp_return,actual_return,direction_correct
0,2025-01-02,2025-05-14,90,KO,0.2,0.30057877573166125,0.1303453763469847,0.12662306209760144,1
0,2025-01-02,2025-05-14,90,XOM,0.2,0.2247733790142625,0.09747251983803784,0.01994539505220816,1
0,2025-01-02,2025-05-14,90,JNJ,0.2,0.18333476384845035,0.07950274843306133,0.024382396488676683,1
0,2025-01-02,2025-05-14,90,BA,0.2,0.16045809467307545,0.06958232725238643,0.19113287389760636,1
0,2025-01-02,2025-05-14,90,MRK,0.2,0.13085498673255036,0.05674499954634472,-0.25275076807277963,0
1,2025-05-14,2025-09-23,90,MRK,0.2,0.631382449092134,0.29338252342856397,0.11009048134681798,1
1,2025-05-14,2025-09-23,90,XOM,0.2,0.14024643613410898,0.06516787629122654,0.06996307668059543,1
1,2025-05-14,2025-09-23,90,JNJ,0.2,0.11743874476106247,0.054569897113588936,0.2257518207814211,1
1,2025-05-14,2025-09-23,90,KO,0.2,0.07063966855515778,0.03282391559136509,-0.021116940887640046,0
1,2025-05-14,2025-09-23,90,HPQ,0.2,0.04029270145753668,0.018722684557297368,0.01732380597091132,1
2,2025-09-23,2026-02-02,90,MRK,0.2,0.546719167806948,0.1371369829248511,0.4299522766966648,1
2,2025-09-23,2026-02-02,90,KO,0.2,0.26666303989921086,0.0668887555123364,0.13714753272180502,1
2,2025-09-23,2026-02-02,90,PG,0.2,0.11696765341920666,0.029339726927909246,0.018731214625425263,1
2,2025-09-23,2026-02-02,90,XOM,0.2,0.06965013887463445,0.017470779273897747,0.22519109338195742,1
3,2026-02-02,2026-05-20,75,HPQ,0.2,0.4421400922172699,0.46269805758781996,0.08086126461793763,1
3,2026-02-02,2026-05-20,75,DIS,0.2,0.17571459788934063,0.18388471112289484,-0.003542318123482935,0
3,2026-02-02,2026-05-20,75,PG,0.2,0.13813580269658093,0.14455863360075952,-0.06317262397526724,0
3,2026-02-02,2026-05-20,75,KO,0.2,0.12463699294116548,0.1304321764811256,0.09001372291300203,1
3,2026-02-02,2026-05-20,75,IP,0.2,0.11937251425564306,0.12492291797939555,-0.23351959565468927,0
